S_ID,Gender,Athlete,Sport,SSS,AES/Tok,Transfer,Continuing,Prev_proff,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6
939,F,,,,,,,Westervelt,12,13,27,32,25,27
947,M,,,,,,,Mirabile,13,2,9,12,1,9
964,F,,,,,,,JohnsonC,4,15,13,19,16,13
970,F,,,2,,,,Galaty,9,4,30,1,18,2
997,M,,,,,,, ,,,,,,
1011,,,,,,,,,18,3,20,26,10,2
1022,F,,,,,,,Roberts,2,33,30,34,4,1
1025,M,y,MGO,1,,,,JohnsonC,3,18,4,22,19,4
1030,F,y,VB,,,,,Fujie,13,19,12,11,24,12
1057,F,,,2,2,,,Smith,22,11,16,7,18,16
1063,F,,,2,,,,Drayton,7,27,25,12,21,25
1074,M,,,,,1,,Williams,,,,,,
1080,F,,,,,,,Holzwarth,2,27,12,15,21,12
1085,F, ,,,,,, ,13,11,19,31,15,19
1089,F,,,,,,,Fujie,12,13,7,11,19,7
1094,F,,,,,,,Simek,1,4,15,23,12,15
1096,F,y,SB,1,,,,Galaty,3,18,6,26,1,6
1101,F,,,,2,,,Copenhaver,12,30,28,4,15,28
1111,F,,,,,,,JohnsonL,24,28,10,9,15,10
1113,M,,,,,,,Schestag,3,4,32,33,1,32
1128,F,y,VB,,,,,Lochner,13,19,11,1,25,11
1130,F,y,VB,,,,,Reed,25,7,13,31,19,13
1133,F,,,,,,,Williams,24,23,25,13,12,25
1134,F,,,,,,,Simek,23,17,19,13,26,19
1138,M,,,,,,,Reed,9,31,15,21,24,15
1142,M,,,,,,,Lochner,27,13,29,11,18,29
1170,F,,,,,,,JohnsonC,12,7,5,27,13,5
1172,M,,,,,,,Sweek,9,13,32,24,8,32
1175,F,,,,,2,,Holzwarth,5,2,11,27,14,11
1182,M,,,,,,,Roberts,1,4,9,13,17,9
1183,F,y,VB,,,,,Reed,2,5,20,19,18,1
1222,F,,,1,1,,,,3,18,,,,
1227,M,,,,,,,Drayton,2,19,18,28,1,18
1252,M,,,2,,,,Cameron-Dominguez,10,2,21,6,9,21
1255,M,,,,,,,Cushman,10,26,12,22,21,12
1257,M,,,,,,,JohnsonC,3,4,32,22,24,32
1273,M,y,FB,,,,,Mirabile,3,4,32,1,5,32
1276,F,,,2,,,,Fujie,26,19,34,11,7,34
1277,M, ,,2,,,,Reed,21,7,17,25,,17
1279,M,,, ,,,,Copenhaver,21,19,22,30,3,22
1280,F,,,2,,,,JohnsonL,,,,,,
1285,F,,,,,,,Cameron-Dominguez,7,25,12,32,31,12
1290,F,y,WBK,,,,,Cushman,18,22,12,15,16,12
1299,F,,,,,,,Holzwarth,7,21,19,34,24,19
1301,M,y,BB,2,,,,JohnsonC JohnsonL,12,25,30,28,21,2
1305,,,,,,,,,,,,,,
1306,F,,,,,,,Simek,26,6,19,31,15,19
1310,F,,,,,,,Reed,23,15,31,13,12,31
1331,F,,,,,,,Holzwarth,11,24,21,17,31,21
1338,M,,,,,,,Mirabile,10,9,21,15,8,21
1340,F,,,,,,,JohnsonL,25,28,24,32,20,24
1345,F, ,,,2,,,Reed,8,12,27,32,24,27
1354,F, ,,,,,,Mirabile,13,20,31,11,27,31
1361,F,y,WCC,,,,,Lochner,1,15,21,8,25,21
1370,M,,,,,,,Toutonghi,18,3,15,21,15,15
1376,M,,,,,,,JohnsonC,3,18,15,21,16,15
1386,F,y,WSW,,,,,Williams,29,12,13,1,15,13
1395,M,,,,,,,Reed,21,25,22,19,13,22
1396,F,,,,,,,Galaty,13,31,19,11,12,19
