S_ID,Gender,Athlete,Sport,SSS,AES/Tok,Transfer,Continuing,Prev_proff,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6
3708,M,,,,,,,JohnsonC,13,16,22,12,17,22
3710,M,,,,,,,JohnsonC,21,2,10,13,9,10
3714,M,,,,,,,JohnsonC,21,10,11,23,17,11
3748,F,,,,,,,Schestag,2,23,18,1,14,18
3753,F,,,,,,,Roberts,15,21,7,19,26,7
3757,M,,,,,,,Glosser,13,21,19,28,9,19
3760,M,,,,,,,Simek,15,18,21,28,9,21
3767,F,,,2,,,,Westervelt,18,23,22,26,25,22
3779,M,,,,,,,Cameron-Dominguez,10,18,13,20,31,13
3792,M,,,,,1,,Morrill,2,14,17,4,23,17
3797,F,y,SB,,,,,Cameron-Dominguez,33,3,19,21,4,19
3801,F,,,,,,,Schestag,34,4,21,9,23,21
3802,M,,,,,,,Muth,10,21,32,12,13,32
3808,F,,,,,,,Holzwarth,24,10,9,15,2,9
3812,,,,,,,,,6,3,,,,
3817,M,,,,,2,,Morrill,13,1,4,28,21,4
3819,F,,,,,,,Glosser,12,31,7,13,11,7
3824,M,y,FB,2,,,,Galaty,,,,,,
3830,F,,,,,,,JohnsonL,15,1,29,11,12,29
3834,F,y,SB,,,,,Cameron-Dominguez,33,6,11,33,21,11
3845,M,,,,,,,Mirabile,21,18,15,9,25,15
3872,F,,,,,1,,Nadine      Cushman,13,12,11,31,17,11
3875,M,,,,,,,Muth,29,7,31,13,32,31
3901,F,,,,,,,Mirabile,33,32,4,3,5,4
3903,F,,,,,,,Galaty,9,10,7,11,13,7
3906,M,,,2,,,,Young    Holzwarth,4,2,9,29,23,9
3918,M,,,,,,,Copenhaver,3,11,17,12,13,17
3921,F,y,WCC,,,,,Westervelt,19,15,21,20,18,21
3928,M,,,,,,,JohnsonC,4,21,15,20,13,15
3939,M,y,BB,,,,,Westervelt,21,11,12,13,29,12
3945,M,,,,,,,Roberts,1,13,12,19,11,12
3950,F, ,,,,,,Drayton,23,3,5,29,1,5
3980,M,,,,,,,Cameron-Dominguez,2,23,1,4,9,3
3985,M,,, ,,,,Lochner,16,13,10,17,29,10
3994,M,,,,,,,Holzwarth,23,4,2,22,9,2
4000,F,,,,,,,Roberts,18,23,7,11,25,7
4008,M,,,,,,,Holzwarth,13,3,18,10,11,18
4012,F,,,2,,,,Reed,19,18,23,21,15,23
4014,M,,,2,,,,Sweek,25,11,12,16,21,12
4017,F,,,,1,,,Williams,1,22,13,18,15,13
4019,F,,,,,,,Morrill,7,13,24,12,9,24
4022,M,,,,,,,Lochner,18,12,13,11,31,13
4024,M,y,MSW MRW,,,,,Reed,1,32,34,5,21,34
4026,M,,,,,,,Lochner,10,21,22,29,23,22
4035,F,,,,,,,Muth,13,11,12,33,7,12
4050,F,,,,,,,JohnsonC,21,25,18,11,13,18
4058,F, ,,,,,,Williams,21,13,12,31,11,12
4061,F,,,,,,,Schestag,11,13,29,21,10,29
4066,F,,,,,,,Schestag,12,13,27,8,7,27
4069,F, ,,,,,,Roberts,7,12,25,19,21,25
4070,F,,,,,,,Lochner,2,7,9,17,29,9
4074,F,,,,,,,Ritchey,26,2,13,18,17,13
4082,F,y,WGO,,,,,Glosser,4,12,13,31,28,13
4083,M,y,FB,,,,,Simek,13,21,29,12,14,29
4089,M,y,FB,,,,,Simek,11,28,21,18,25,21
4092,F, ,,,,,,Schestag,25,7,18,12,31,18
4093,F,y,WCC,,,2,, ,,,,,,
4099,F,,,,,,,Lochner,21,22,7,34,12,7
4100,F,,,,,,,Simek,19,15,10,28,4,10
4108,F,,,,,,,Lochner,13,29,11,12,9,11
4114,F,,,,,,,JohnsonC,12,13,7,11,21,7
4118,F,,,,,,,Schestag,13,17,29,12,31,29
4127,M,,,,,,,Westervelt,21,15,18,9,13,18
4132,M,,,,,,,Toutonghi,18,12,11,16,9,11
4149,M,,,1,,,,Westervelt,11,15,21,19,13,21
4157,F,,,,,,,Mirabile,21,9,24,15,32,24
4159,M,,,,,,,Holzwarth,18,9,11,12,31,11
4168,F,,,,,,,Holzwarth,13,11,24,12,9,24
4173,F,,,,,,,JohnsonC,21,9,15,13,2,15
4205,M,,,,,,,Galaty,4,33,19,21,11,19
4222,F,,,1,,1,,Reed,,,,,,
4229,M,,,,,,,Lochner,10,23,2,32,22,3
4233,M,,,,,,,Muth,2,4,10,21,13,10
4235,M,,,,,,,Muth,9,2,13,10,4,13
4236,M,,,,,,,Smith,21,13,12,20,27,12
4284,M,,,,,,,Schestag,32,34,19,30,21,19
4291,F,,,,,,,Morrill,11,7,12,13,13,12
4294,F,,,,,,,JohnsonL,21,1,22,23,2,22
4297,F,,,,1,,,Williams,12,13,33,11,19,33
4298,F,,,,,,,Reed,8,11,13,17,23,13
4299,F,,,,,,,JohnsonL,7,12,1,4,31,2
4300,M,,,,,,,Ritchey,15,25,10,21,13,10
4310,F,,,,,,,Ritchey,15,5,18,3,23,18
4328,F,y,WRW,,,,,JohnsonC,23,17,13,21,11,13
4329,F,,,,,,,Westervelt,11,13,18,1,7,18
4333,M,y,MSW,,,,,JohnsonL,21,10,9,13,25,9
4352,F,y,WCC,,2,,,Schestag,18,19,3,25,11,3
4380,M,,,,,,,JohnsonL,21,19,28,15,9,28
4387,F,,,,,,,Mirabile,13,12,3,11,5,3
4397,M,,,,,,,Simek,11,18,12,19,31,12
4411,F,,,,,,,Glosser,12,25,13,2,30,13
4416,F,,,,,,,Reed,7,12,13,9,25,13
4418,F,y,WTN,,,,2,Mirabile,17,13,21,9,7,21
4431,F,,,,,,,Lochner,31,12,21,26,14,21
4433,M,,,,,,,Westervelt,11,13,10,19,2,10
4508,M,y,BB,1,2,,,Cameron-Dominguez,20,13,12,22,9,30
4546,F,,,,,,,Cameron-Dominguez,13,2,19,31,12,19
4558,F,,,,,,,Galaty,14,4,20,9,22,20
4565,F,y,WTF,1,,,,Muth,19,13,12,7,21,12
4571,M,,,,,,,Mirabile,5,33,6,7,9,10
4580,F,,,,,,,JohnsonL,13,12,7,25,27,7
4583,M,,,,,,1,Simek,1,18,19,22,28,19
4595,M,,,,,,,Reed,12,2,28,24,5,28
4644,M,,,,2,,,Galaty,18,3,31,21,7,31
4647,M,,,,,,,Schestag,21,4,25,17,,25
4650,M,,,2,,,,Reed,12,21,8,3,19,8
4654,F,,,,,,,Morrill,12,13,25,1,2,25
4658,M,,,,,,,Cushman,18,29,8,10,19,8
4669,M,,,1,,,,Wendt     Fishman,11,13,24,25,29,24
4671,M,y,MSW,2,,,,Schestag,10,21,25,5,4,25
4680,F,y,WGO,2,,,,Galaty,4,3,20,,,2
4695,F,,,2,,,,Westervelt,4,2,8,10,13,23
4702,M,,,,,,,Roberts,21,4,25,12,13,25
4714,F,,,,,,,Fujie,17,23,3,25,13,3
4729,F,,,,,,,Muth,13,23,25,26,11,25
4732,M,y,FB,1,,,,JohnsonL,13,11,1,21,31,2
4736,M, ,,,,,,Mirabile,19,21,29,20,30,29
4766,F,y,SO,2,,,2,Fujie,12,15,31,28,18,31
4779,M,,,,,,,Reed,31,29,32,23,4,32
4790,M,,,2,,,,Drayton,11,4,21,29,10,21
4807,M,,,,,,,Toutonghi,23,26,7,2,31,7
4810,F,,,,,2,,Toutonghi,32,3,34,6,4,34
4832,M,,,,,,,Williams,18,12,7,13,3,7
4833,F,,,,,,,Roberts,11,7,13,16,31,13
4835,M,,,,,,,Simek,27,8,19,21,1,19
4839,M,y,BB,,,,,Roberts,3,33,13,12,28,13
4854,M,,,,,,,Roberts,1,9,10,11,8,10
4862,F,,,,,,,Reed,24,7,11,12,13,11
4865,F,,,,,,,Cameron-Dominguez,25,21,14,15,23,14
4866,M,,,,,,,Cameron-Dominguez,3,5,4,32,2,4
4875,F,,,,,,,Galaty,25,8,11,12,13,11
4876,M, ,,,,,,Muth,12,13,31,9,7,31
4884,M,,,,,,,Simek,21,13,9,28,22,9
4909,F,,,,,,,Galaty,9,12,7,6,25,7
4921,F,y,WBK,,,,,Ritchey,12,7,11,19,25,11
4924,F,,,,,,,Glosser,17,13,21,12,7,21
4925,F,,,,,,,Smith,10,4,23,25,18,23
4930,F,,,,,,,,2,23,24,4,19,24
4944,F,y,SO,,,,,Muth,10,2,23,30,24,23
4948,F,,,,,,,Toutonghi,13,12,11,17,18,11
4949,M,,,,,,,JohnsonC,25,29,11,21,13,11
4969,F,,,,,,,Mirabile,16,5,33,11,19,33
4971,F,,,,,,,Reed,7,12,21,11,8,21
4986,F, ,,,,,,Sweek,18,4,25,7,31,25
4989,F,,,,,,,Morrill,28,18,29,32,13,29
